Date,PROPHET Model,ETS Model,ARIMA Model
2021-12-01 00:00,25968.538660306305,26839.425125617396,25389.17302455219
2021-12-01 01:00,24925.125229919446,25838.479570701842,24553.252551561614
2021-12-01 02:00,24114.711147690225,25143.77981790522,24045.734076296045
2021-12-01 03:00,23719.358925680044,24812.49404586772,23957.778052363265
2021-12-01 04:00,23995.39117994595,24925.966691715526,24297.11266878851
2021-12-01 05:00,24995.68681219955,25698.525966346067,25516.641507910615
2021-12-01 06:00,26412.594149627766,27381.201241988027,27339.1239449609
2021-12-01 07:00,27713.629311670164,28808.518851189387,28311.617325180836
2021-12-01 08:00,28472.15290042666,29339.470241586558,28732.50015997835
2021-12-01 09:00,28617.790913310568,29513.003177955565,28587.733200784663
2021-12-01 10:00,28412.121851460466,29381.87737949079,28169.30028059344
2021-12-01 11:00,28207.491060090353,29183.82920320056,27929.323153237216
2021-12-01 12:00,28223.505990390808,29115.621601455314,27988.11696561121
2021-12-01 13:00,28515.418581409212,29429.533420795182,28494.06156313759
2021-12-01 14:00,29090.358560392,29992.998740818995,29168.664493285258
2021-12-01 15:00,29982.473119168368,30793.190161749928,29937.853597372727
2021-12-01 16:00,31171.603221176403,31803.04250417951,31397.38663136859
2021-12-01 17:00,32435.426434776047,33172.60510803344,33073.5658008561
2021-12-01 18:00,33336.233313117074,34373.66979019596,32650.372703271438
2021-12-01 19:00,33431.41519556242,34087.937113820815,31836.057018587882
2021-12-01 20:00,32566.14307561736,33017.38380266562,30947.581782056433
2021-12-01 21:00,30994.26695225049,31816.97822949231,29815.336984378962
2021-12-01 22:00,29206.809954639913,30067.488104704196,28165.64520433831
2021-12-01 23:00,27609.2352223626,28205.398309921897,26528.487779366245
2021-12-02 00:00,26326.21281170457,26839.425125617396,25359.29273947148
2021-12-02 01:00,25287.491669742107,25838.479570701842,24524.35605152722
2021-12-02 02:00,24477.80761424046,25143.77981790522,24017.434867789045
2021-12-02 03:00,24079.486551694208,24812.49404586772,23929.58235579551
2021-12-02 04:00,24349.158843283738,24925.966691715526,24268.51760930197
2021-12-02 05:00,25340.04827820469,25698.525966346067,25486.61119184732
2021-12-02 06:00,26744.877561035944,27381.201241988027,27306.948761024774
2021-12-02 07:00,28031.558699126967,28808.518851189387,28278.297619209843
2021-12-02 08:00,28773.861509070583,29339.470241586558,28698.685118395355
2021-12-02 09:00,28901.82626264794,29513.003177955565,28554.088532682625
2021-12-02 10:00,28677.442570687086,29381.87737949079,28136.14806150122
2021-12-02 11:00,28453.45566395009,29183.82920320056,27896.453360020547
2021-12-02 12:00,28449.853880304134,29115.621601455314,27955.177977144005
2021-12-02 13:00,28722.243672633012,29429.533420795182,28460.527131172796
2021-12-02 14:00,29278.076045345024,29992.998740818995,29134.336125214155
2021-12-02 15:00,30151.779979733,30793.190161749928,29902.619975537822
2021-12-02 16:00,31323.433196053535,31803.04250417951,31360.435295336058
2021-12-02 17:00,32570.900231270298,33172.60510803344,33034.64178151377
2021-12-02 18:00,33456.60492517516,34373.66979019596,32611.94673593071
2021-12-02 19:00,33538.01524969579,34087.937113820815,31798.58941250782
2021-12-02 20:00,32660.320173508462,33017.38380266562,30911.15981510695
2021-12-02 21:00,31077.3280119128,31816.97822949231,29780.247547153987
2021-12-02 22:00,29279.960571555523,30067.488104704196,28132.497276301205
2021-12-02 23:00,27673.521076635087,28205.398309921897,26497.26660897404
2021-12-03 00:00,26382.463137815765,26839.425125617396,25329.44758539527
2021-12-03 01:00,25336.265780657694,25838.479570701842,24495.493527693565
2021-12-03 02:00,24519.345435282165,25143.77981790522,23989.168935281312
2021-12-03 03:00,24113.664065066034,24812.49404586772,23901.41981591433
2021-12-03 04:00,24375.449281892714,24925.966691715526,24239.956178802633
2021-12-03 05:00,25357.48982891846,25698.525966346067,25456.616196009585
2021-12-03 06:00,26752.048250097265,27381.201241988027,27274.811423508087
2021-12-03 07:00,28026.559034487076,28808.518851189387,28245.01710838773
2021-12-03 08:00,28754.30534641452,29339.470241586558,28664.909856517297
2021-12-03 09:00,28864.840249308778,29513.003177955565,28520.483445235797
2021-12-03 10:00,28619.67440063311,29381.87737949079,28103.034844840302
2021-12-03 11:00,28371.09125272969,29183.82920320056,27863.622238070813
2021-12-03 12:00,28338.64344215623,29115.621601455314,27922.277742494407
2021-12-03 13:00,28577.536553725993,29429.533420795182,28427.032154817723
2021-12-03 14:00,29094.864040478038,29992.998740818995,29100.048148061505
2021-12-03 15:00,29924.7487343064,30793.190161749928,29867.42781085874
2021-12-03 16:00,31047.02117479551,31803.04250417951,31323.527438801873
2021-12-03 17:00,32239.36462063219,33172.60510803344,32995.763564016495
2021-12-03 18:00,33064.093728119944,34373.66979019596,32573.565984930923
2021-12-03 19:00,33078.64473216071,34087.937113820815,31761.165895474143
2021-12-03 20:00,32128.2567346277,33017.38380266562,30874.780707141486
2021-12-03 21:00,30466.87347081877,31816.97822949231,29745.199401164573
2021-12-03 22:00,28585.639799359487,30067.488104704196,28099.388355005198
2021-12-03 23:00,26890.170850532184,28205.398309921897,26466.08217815042
2021-12-04 00:00,25505.321056261586,26839.425125617396,25299.63755184275
2021-12-04 01:00,24361.05805622142,25838.479570701842,24466.664968279176
2021-12-04 02:00,23442.372373838654,25143.77981790522,23960.93626538491
2021-12-04 03:00,22931.882047772655,24812.49404586772,23873.290417251126
2021-12-04 04:00,23086.54808942254,24925.966691715526,24211.428359236364
2021-12-04 05:00,23959.964186109723,25698.525966346067,25426.65649849808
2021-12-04 06:00,25245.26252188441,27381.201241988027,27242.71190584351
2021-12-04 07:00,26410.804071687417,28808.518851189387,28211.77576301097
2021-12-04 08:00,27030.846561111077,29339.470241586558,28631.17434253729
2021-12-04 09:00,27035.956092935874,29513.003177955565,28486.917905578117
2021-12-04 10:00,26688.684523263255,29381.87737949079,28069.960597243153
2021-12-04 11:00,26342.373737492057,29183.82920320056,27830.829753330094
2021-12-04 12:00,26217.640633241605,29115.621601455314,27889.416226520305
2021-12-04 13:00,26370.74912833499,29429.533420795182,28393.57659720235
2021-12-04 14:00,26809.833112551543,29992.998740818995,29065.800523032274
2021-12-04 15:00,27570.02592026961,30793.190161749928,29832.277062532383
2021-12-04 16:00,28632.126695627347,31803.04250417951,31286.66301789455
2021-12-04 17:00,29774.7336595858,33172.60510803344,32956.93110113064
2021-12-04 18:00,30561.011407164508,34373.66979019596,32535.230403152724
2021-12-04 19:00,30549.17021227205,34087.937113820815,31723.786421168945
2021-12-04 20:00,29585.137079645767,33017.38380266562,30838.444412809804
2021-12-04 21:00,27923.448045976398,31816.97822949231,29710.192502466925
2021-12-04 22:00,26055.73609757809,30067.488104704196,28066.318398794272
2021-12-04 23:00,24387.99274978352,28205.398309921897,26434.934447541295
2021-12-05 00:00,23045.33061643826,26839.425125617396,25269.862601030534
2021-12-05 01:00,21957.852049620444,25838.479570701842,24437.87033655541
2021-12-05 02:00,21110.55482014142,25143.77981790522,23932.73682191762
2021-12-05 03:00,20685.93408620551,24812.49404586772,23845.194123511097
2021-12-05 04:00,20940.696566136045,24925.966691715526,24182.93411352214
2021-12-05 05:00,21928.05036377851,25698.525966346067,25396.732060032606
2021-12-05 06:00,23340.612333957288,27381.201241988027,27210.65016558835
2021-12-05 07:00,24646.101338194057,28808.518851189387,28178.57353887512
2021-12-05 08:00,25418.01056569608,29339.470241586558,28597.478531402616
2021-12-05 09:00,25586.024882138634,29513.003177955565,28453.391868743623
2021-12-05 10:00,25411.705237929644,29381.87737949079,28036.925274288966
2021-12-05 11:00,25247.301217444336,29183.82920320056,27798.07586164392
2021-12-05 12:00,25312.245453507996,29115.621601455314,27856.593384857835
2021-12-05 13:00,25661.5361281975,29429.533420795182,28360.160413035177
2021-12-05 14:00,26301.9713688424,29992.998740818995,29031.593203641678
2021-12-05 15:00,27267.290994930314,30793.190161749928,29797.167682734856
2021-12-05 16:00,28536.855856083508,31803.04250417951,31249.84198233456
2021-12-05 17:00,29887.794629932327,33172.60510803344,32918.14433977516
2021-12-05 18:00,30881.785061465154,34373.66979019596,32496.93993813789
2021-12-05 19:00,31075.54746834176,34087.937113820815,31686.450938399357
